version,current_minor,supported,first_release,final_release
15,15.0,True,2022-10-13,2027-11-11
14,14.5,True,2021-09-30,2026-11-12
13,13.8,True,2020-09-24,2025-11-13
12,12.12,True,2019-10-03,2024-11-14
11,11.17,True,2018-10-18,2023-11-09
10,10.22,True,2017-10-05,2022-11-10
9.6,9.6.24,False,2016-09-29,2021-11-11
9.5,9.5.25,False,2016-01-07,2021-02-11
9.4,9.4.26,False,2014-12-18,2020-02-13
9.3,9.3.25,False,2013-09-09,2018-11-08
9.2,9.2.24,False,2012-09-10,2017-11-09
9.1,9.1.24,False,2011-09-12,2016-10-27
9.0,9.0.23,False,2010-09-20,2015-10-08
8.4,8.4.22,False,2009-07-01,2014-07-24
8.3,8.3.23,False,2008-02-04,2013-02-07
8.2,8.2.23,False,2006-09-05,2011-12-05
8.1,8.1.23,False,2005-11-08,2010-11-08
8.0,8.0.26,False,2005-01-19,2010-10-01
7.4,7.4.30,False,2003-11-17,2010-10-01
7.3,7.3.21,False,2002-11-27,2007-11-27
7.2,7.2.8,False,2002-02-04,2007-02-04
7.1,7.1.3,False,2001-04-13,2006-04-13
7.0,7.0.3,False,2000-05-08,2005-05-08
6.5,6.5.3,False,1999-06-09,2004-06-09
6.4,6.4.2,False,1998-10-30,2003-10-30
6.3," 6.3.2",False,1998-03-01,2003-03-01
